Destination,Category,Activities,Duration,Budget,Season,Combined_Features,Accommodations
Sigiriya Rock,Historical,Sightseeing,1 day,50,All Year,Historical Sightseeing 1 day,"Aliya Resort & Spa, Hotel Sigiriya, Water Garden Sigiriya"
Ella Rock,Adventure,Hiking,2 days,100,All Year,Adventure Hiking 2 days,"98 Acres Resort & Spa, Ella Jungle Resort, Zion View Ella"
Nuwara Eliya,Cultural,Tea Plantation,1 day,60,All Year,Cultural Tea Plantation 1 day,"Heritance Tea Factory, The Grand Hotel, Araliya Green Hills"
Kandy,Cultural,Temple Visits,2 days,80,All Year,Cultural Temple Visits 2 days,"Earl's Regency, Cinnamon Citadel, The Theva Residency"
Yala National Park,Wildlife,Safari,3 days,150,All Year,Wildlife Safari 3 days,Not Available
Colombo,Urban,Shopping,1 day,40,All Year,Urban Shopping 1 day,"Shangri-La Colombo, Galle Face Hotel, Cinnamon Grand"
Galle Beach,Coastal,Beach,2 days,120,All Year,Coastal Beach 2 days,"Jetwing Lighthouse, Le Grand Galle, Tamarind Hill"
Mirissa Beach,Coastal,Whale Watching,3 days,200,All Year,Coastal Whale Watching 3 days,"Mirissa Beach Hotel, Salt Asia Boutique Hotel, Casa Colombo"
Anuradhapura,Historical,Ancient Ruins,1 day,70,All Year,Historical Ancient Ruins 1 day,Not Available
Polonnaruwa,Historical,Ancient Ruins,2 days,90,All Year,Historical Ancient Ruins 2 days,Not Available
Horton Plains,Adventure,Hiking,1 day,50,All Year,Adventure Hiking 1 day,Not Available
Unawatuna  Beach,Coastal,Snorkeling,2 days,110,All Year,Coastal Snorkeling 2 days,Not Available
Trincomalee Beach,Coastal,Diving,3 days,160,All Year,Coastal Diving 3 days,"Trinco Blu by Cinnamon, Jungle Beach by Uga Escapes, Anantamaa Hotel"
Jaffna,Cultural,Temple Visits,2 days,100,All Year,Cultural Temple Visits 2 days,Not Available
Dambulla,Historical,Cave Temple,1 day,60,All Year,Historical Cave Temple 1 day,Not Available
Habarana,Wildlife,Elephant Safari,2 days,150,All Year,Wildlife Elephant Safari 2 days,Not Available
Tangalle Beach,Coastal,Beach & Relaxation,2 days,120,All Year,Coastal Beach & Relaxation 2 days,Not Available
Batticaloa Beach,Coastal,Lagoon Exploration,2 days,130,All Year,Coastal Lagoon Exploration 2 days,Not Available
Udawalawe,Wildlife,Elephant Sanctuary,2 days,140,All Year,Wildlife Elephant Sanctuary 2 days,Not Available
Kitulgala,Adventure,White Water Rafting,1 day,70,All Year,Adventure White Water Rafting 1 day,Not Available
Negombo Beach,Coastal,Beach & Water Sports,1 day,80,All Year,Coastal Beach & Water Sports 1 day,Not Available
Ratnapura,Historical,Gem Mining,1 day,60,All Year,Historical Gem Mining 1 day,Not Available
Matara Beach,Coastal,Surfing,2 days,90,All Year,Coastal Surfing 2 days,"The Seascape, Culture Resort, Amaloh Boutique Resort"
Kalpitiya Beach,Coastal,Kite Surfing,2 days,100,All Year,Coastal Kite Surfing 2 days,Not Available
Bentota Beach,Coastal,River Safari,1 day,70,All Year,Coastal River Safari 1 day,"Taj Bentota Resort, Cinnamon Bentota Beach, Avani Bentota"
Hikkaduwa,Coastal,Snorkeling,2 days,90,All Year,Coastal Snorkeling 2 days,Not Available
Koggala Beach,Coastal,Lagoon Cruise,1 day,60,All Year,Coastal Lagoon Cruise 1 day,Not Available
Nuwara Eliya,Adventure,Waterfalls,1 day,70,All Year,Adventure Waterfalls 1 day,"Heritance Tea Factory, The Grand Hotel, Araliya Green Hills"
Colombo,Urban,Museums & Galleries,1 day,50,All Year,Urban Museums & Galleries 1 day,"Shangri-La Colombo, Galle Face Hotel, Cinnamon Grand"
Jaffna Beach,Coastal,Beach Relaxation,2 days,110,All Year,Coastal Beach Relaxation 2 days,Not Available
Kandy,Cultural,Cultural Shows,2 days,80,All Year,Cultural Cultural Shows 2 days,"Earl's Regency, Cinnamon Citadel, The Theva Residency"
Yala,Wildlife,Bird Watching,2 days,120,All Year,Wildlife Bird Watching 2 days,Not Available
Galle,Coastal,Historic Fort,2 days,110,All Year,Coastal Historic Fort 2 days,"Jetwing Lighthouse, Le Grand Galle, Tamarind Hill"
Mirissa Beach,Coastal,Beach & Relaxation,2 days,120,All Year,Coastal Beach & Relaxation 2 days,"Mirissa Beach Hotel, Salt Asia Boutique Hotel, Casa Colombo"
Anuradhapura,Historical,Archaeological Sites,1 day,70,All Year,Historical Archaeological Sites 1 day,Not Available
Polonnaruwa,Historical,Cycling Tours,2 days,90,All Year,Historical Cycling Tours 2 days,Not Available
Horton Plains,Adventure,Wildlife Viewing,1 day,50,All Year,Adventure Wildlife Viewing 1 day,Not Available
Unawatuna  Beach,Coastal,Fishing Tours,2 days,100,All Year,Coastal Fishing Tours 2 days,Not Available
Trincomalee Beach,Coastal,Historic Fort,1 day,80,All Year,Coastal Historic Fort 1 day,"Trinco Blu by Cinnamon, Jungle Beach by Uga Escapes, Anantamaa Hotel"
Jaffna,Cultural,History & Culture,3 days,180,All Year,Cultural History & Culture 3 days,Not Available
Dambulla,Historical,Sigiriya Rock View,1 day,60,All Year,Historical Sigiriya Rock View 1 day,Not Available
Habarana,Wildlife,Nature Walks,2 days,140,All Year,Wildlife Nature Walks 2 days,Not Available
Tangalle Beach,Coastal,Surfing,2 days,100,All Year,Coastal Surfing 2 days,Not Available
Batticaloa Beach,Coastal,Bird Watching,2 days,120,All Year,Coastal Bird Watching 2 days,Not Available
Udawalawe,Wildlife,Nature Trails,2 days,130,All Year,Wildlife Nature Trails 2 days,Not Available
Kitulgala,Adventure,Jungle Trekking,1 day,60,All Year,Adventure Jungle Trekking 1 day,Not Available
Negombo Beach,Coastal,Bird Watching,1 day,50,All Year,Coastal Bird Watching 1 day,Not Available
Ratnapura,Historical,Rainforest Trek,1 day,80,All Year,Historical Rainforest Trek 1 day,Not Available
Matara Beach,Coastal,Beach & Surfing,2 days,90,All Year,Coastal Beach & Surfing 2 days,"The Seascape, Culture Resort, Amaloh Boutique Resort"
Kalpitiya Beach,Coastal,Dolphin Watching,3 days,160,All Year,Coastal Dolphin Watching 3 days,Not Available
Bentota Beach,Coastal,Spa & Wellness,1 day,70,All Year,Coastal Spa & Wellness 1 day,"Taj Bentota Resort, Cinnamon Bentota Beach, Avani Bentota"
Hikkaduwa,Coastal,Coral Gardens,1 day,50,All Year,Coastal Coral Gardens 1 day,Not Available
Koggala,Coastal,Boat Tours,2 days,100,All Year,Coastal Boat Tours 2 days,Not Available
Nuwara Eliya,Adventure,Mountain Climbing,1 day,60,All Year,Adventure Mountain Climbing 1 day,"Heritance Tea Factory, The Grand Hotel, Araliya Green Hills"
Colombo,Urban,Food Tours,1 day,50,All Year,Urban Food Tours 1 day,"Shangri-La Colombo, Galle Face Hotel, Cinnamon Grand"
Jaffna,Coastal,Local Festivals,2 days,110,All Year,Coastal Local Festivals 2 days,Not Available
Kandy,Cultural,Botanical Gardens,1 day,60,All Year,Cultural Botanical Gardens 1 day,"Earl's Regency, Cinnamon Citadel, The Theva Residency"
Yala,Wildlife,Leopard Safari,3 days,150,All Year,Wildlife Leopard Safari 3 days,Not Available
Galle Beach,Coastal,Lighthouse Tours,1 day,70,All Year,Coastal Lighthouse Tours 1 day,"Jetwing Lighthouse, Le Grand Galle, Tamarind Hill"
Mirissa Beach,Coastal,Sunset Viewing,2 days,120,All Year,Coastal Sunset Viewing 2 days,"Mirissa Beach Hotel, Salt Asia Boutique Hotel, Casa Colombo"
Anuradhapura,Historical,Buddhist Temples,1 day,60,All Year,Historical Buddhist Temples 1 day,Not Available
Polonnaruwa,Historical,Ancient Temples,2 days,90,All Year,Historical Ancient Temples 2 days,Not Available
Horton Plains,Adventure,Photography,1 day,50,All Year,Adventure Photography 1 day,Not Available
Unawatuna  Beach,Coastal,Sunset Walks,1 day,50,All Year,Coastal Sunset Walks 1 day,Not Available
Trincomalee Beach,Coastal,Whale Watching,2 days,120,All Year,Coastal Whale Watching 2 days,"Trinco Blu by Cinnamon, Jungle Beach by Uga Escapes, Anantamaa Hotel"
Jaffna,Cultural,Jaffna Fort,2 days,80,All Year,Cultural Jaffna Fort 2 days,Not Available
Dambulla,Historical,Cave Paintings,1 day,60,All Year,Historical Cave Paintings 1 day,Not Available
Habarana,Wildlife,Elephant Watching,2 days,150,All Year,Wildlife Elephant Watching 2 days,Not Available
Tangalle Beach,Coastal,Yoga Retreats,2 days,120,All Year,Coastal Yoga Retreats 2 days,Not Available
Batticaloa Beach,Coastal,Canoeing,2 days,100,All Year,Coastal Canoeing 2 days,Not Available
Udawalawe,Wildlife,Elephant Herds,2 days,130,All Year,Wildlife Elephant Herds 2 days,Not Available
Kitulgala,Adventure,Adventure Tours,1 day,80,All Year,Adventure Adventure Tours 1 day,Not Available
Negombo Beach,Coastal,Lagoon Tour,1 day,60,All Year,Coastal Lagoon Tour 1 day,Not Available
Ratnapura,Historical,Temple Visits,1 day,50,All Year,Historical Temple Visits 1 day,Not Available
Matara Beach,Coastal,Whale Watching,3 days,140,All Year,Coastal Whale Watching 3 days,"The Seascape, Culture Resort, Amaloh Boutique Resort"
Kalpitiya Beach,Coastal,Marine Life Watching,2 days,120,All Year,Coastal Marine Life Watching 2 days,Not Available
Bentota Beach,Coastal,Eco Tours,1 day,70,All Year,Coastal Eco Tours 1 day,"Taj Bentota Resort, Cinnamon Bentota Beach, Avani Bentota"
Hikkaduwa Beach,Coastal,Surf Lessons,2 days,90,All Year,Coastal Surf Lessons 2 days,Not Available
Koggala Beach,Coastal,Turtle Conservation,1 day,60,All Year,Coastal Turtle Conservation 1 day,Not Available
Nuwara Eliya,Adventure,Waterfall Tours,1 day,50,All Year,Adventure Waterfall Tours 1 day,"Heritance Tea Factory, The Grand Hotel, Araliya Green Hills"
Colombo,Urban,City Walking Tours,1 day,40,All Year,Urban City Walking Tours 1 day,"Shangri-La Colombo, Galle Face Hotel, Cinnamon Grand"
Jaffna Beach,Coastal,Fishing Villages,1 day,70,All Year,Coastal Fishing Villages 1 day,Not Available
Kandy,Cultural,Local Market Tours,2 days,80,All Year,Cultural Local Market Tours 2 days,"Earl's Regency, Cinnamon Citadel, The Theva Residency"
Yala,Wildlife,Safari Boat Tours,3 days,150,All Year,Wildlife Safari Boat Tours 3 days,Not Available
Galle Beach,Coastal,Spice Garden Tours,1 day,50,All Year,Coastal Spice Garden Tours 1 day,"Jetwing Lighthouse, Le Grand Galle, Tamarind Hill"
Mirissa Beach,Coastal,Adventure Activities,2 days,120,All Year,Coastal Adventure Activities 2 days,"Mirissa Beach Hotel, Salt Asia Boutique Hotel, Casa Colombo"
