Place,Accommodation Name,Category,Price,Facilities,Rating,Distance
Pinnawala,Resort Resort Pinnawala,Guesthouse,79,"Spa, Wi-Fi, Restaurant",4.1,1.5
Jaffna,Lodge Inn Jaffna,Guesthouse,142,"Pool, Spa, Restaurant",4.8,2.7
Gampaha,Retreat Inn Gampaha,Guesthouse,298,"Garden, Pool",4.3,1.5
Melsiripura,Villa Hotel Melsiripura,Hotel,161,"Spa, Gym",5,1.5
Colombo,Lodge Palace Colombo,Guesthouse,212,"Pool, Restaurant",3.9,4.8
Meegama,View House Meegama,Guesthouse,263,"Spa, Gym, Garden",5,1.7
Kataragama,Palace Retreat Kataragama,Hotel,226,"Gym, Wi-Fi",3.9,4.6
Horana,Lodge Resort Horana,Resort,177,"Pool, Gym",4.9,4
Warakapola,Resort Retreat Warakapola,Resort,102,"Restaurant, Spa",4.6,4
Mirigama,Resort Hotel Mirigama,Guesthouse,276,"Gym, Pool, Garden, Spa",3.7,2.4
Hatton,The Grand Inn Hatton,Hotel,108,"Restaurant, Gym, Wi-Fi",3.7,2.7
Wattegama,Hotel House Wattegama,Resort,52,"Spa, Wi-Fi",3.9,2.3
Dambulla,Heritage Inn Dambulla,Hotel,236,"Garden, Wi-Fi",3.7,2.5
Galle,Retreat Villa Galle,Hotel,222,"Spa, Restaurant",4.6,1.6
Negombo,Lodge Villa Negombo,Resort,113,"Restaurant, Pool, Wi-Fi, Spa",4.5,1.5
Puttalam,Lodge Inn Puttalam,Guesthouse,65,"Spa, Gym, Garden, Wi-Fi",4,2.1
Ambalantota,Heritage House Ambalantota,Guesthouse,272,"Restaurant, Pool, Wi-Fi",3.8,4.1
Beliatta,View Inn Beliatta,Hotel,64,"Garden, Wi-Fi, Restaurant",3.8,1.3
Denagama,Hotel Palace Denagama,Resort,159,"Spa, Wi-Fi, Pool, Restaurant",4.3,0.8
Wilpattu,Retreat Inn Wilpattu,Resort,228,"Garden, Gym, Pool, Wi-Fi",4.1,5
Kelaniya,Heritage Villa Kelaniya,Guesthouse,186,"Garden, Pool, Spa",4.6,1.1
Kalpitiya,Resort Hotel Kalpitiya,Guesthouse,271,"Restaurant, Wi-Fi, Gym",3.8,3.8
Maskeliya,View Villa Maskeliya,Resort,299,"Spa, Pool, Garden, Gym",4.7,0.6
Kurunegala,View Resort Kurunegala,Hotel,149,"Wi-Fi, Gym",4,1.2
Wellawaya,The Grand Retreat Wellawaya,Hotel,130,"Restaurant, Gym, Wi-Fi",4.1,1.2
Dikwella,Palace Hotel Dikwella,Hotel,290,"Restaurant, Gym, Wi-Fi, Garden",4.5,1.3
Puttalam,Heritage Retreat Puttalam,Hotel,120,"Gym, Pool",3.9,1.2
Denagama,Lodge Hotel Denagama,Guesthouse,138,"Spa, Pool, Restaurant",4.5,0.9
Kadugannawa,Lodge Palace Kadugannawa,Hotel,288,"Garden, Pool",3.9,3.1
Ambalangoda,View Hotel Ambalangoda,Hotel,254,"Spa, Wi-Fi",4.1,0.1
Horton Plains,Heritage Inn Horton Plains,Resort,113,"Garden, Gym, Spa",4.3,0.6
Aluthgama,The Grand House Aluthgama,Guesthouse,158,"Gym, Garden",4.7,4
Balangoda,Lodge Inn Balangoda,Resort,168,"Restaurant, Garden, Wi-Fi",3.7,1.1
